Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,313,98,3,2.5,4.5,8.3,1,0.76
2,312,100,2,1.5,3.5,7.9,1,0.56
3,334,116,4,4,3,8,1,0.78
4,324,112,4,4,2.5,8.1,1,0.72
5,322,110,3,3,3.5,8,0,0.7
6,320,103,3,3,3,7.7,0,0.64
7,316,102,3,2,3,7.4,0,0.64
8,298,99,2,4,2,7.6,0,0.46
9,300,99,1,3,2,6.8,1,0.36
10,311,104,2,2,2,8.3,0,0.42
11,309,100,2,3,3,8.1,0,0.48
12,307,101,3,4,3,8.2,0,0.47
13,304,105,2,3,3,8.2,1,0.54
14,315,107,2,4,3,8.5,1,0.56
15,325,111,3,3,3.5,8.7,0,0.52
16,325,112,4,3.5,3.5,8.92,0,0.55
17,327,114,3,3,3,9.02,0,0.61
18,316,107,2,3.5,3.5,8.64,1,0.57
19,318,109,3,3.5,4,9.22,1,0.68
20,328,115,4,4.5,4,9.16,1,0.78
21,332,118,5,5,5,9.64,1,0.94
22,336,112,5,5,5,9.76,1,0.96
23,321,111,5,5,5,9.45,1,0.93
24,314,108,4,4.5,4,9.04,1,0.84
25,314,106,3,3,5,8.9,0,0.74
26,329,114,2,2,4,8.56,1,0.72
27,327,112,3,3,3,8.72,1,0.74
28,301,99,2,3,2,8.22,0,0.64
29,296,95,2,3,2,7.54,1,0.44
30,294,93,1,1.5,2,7.36,0,0.46
31,312,105,3,2,3,8.02,1,0.5
32,340,120,4,5,5,9.5,1,0.96
33,320,110,5,5,4.5,9.22,1,0.92
34,322,115,5,4,4.5,9.36,1,0.92
35,340,115,5,4.5,4.5,9.45,1,0.94
36,319,103,4,4.5,3.5,8.66,0,0.76
37,315,106,3,4.5,3.5,8.42,0,0.72
38,317,107,2,3.5,3,8.28,0,0.66
39,314,108,3,4.5,3.5,8.14,0,0.64
40,316,109,4,4.5,3.5,8.76,1,0.74
41,318,106,2,4,4,7.92,1,0.64
42,299,97,3,5,3.5,7.66,0,0.38
43,298,98,2,4,3,8.03,0,0.34
44,301,97,2,3,3,7.88,1,0.44
45,303,99,3,2,2.5,7.66,0,0.36
46,304,100,4,1.5,2.5,7.84,0,0.42
47,306,100,2,3,3,8,0,0.48
48,331,120,3,4,4,8.96,1,0.86
49,332,119,4,5,4.5,9.24,1,0.9
50,323,113,3,4,4,8.88,1,0.79
51,322,107,3,3.5,3.5,8.46,1,0.71
52,312,105,2,2.5,3,8.12,0,0.64
53,314,106,2,4,3.5,8.25,0,0.62
54,317,104,2,4.5,4,8.47,0,0.57
55,326,112,3,3.5,3,9.05,1,0.74
56,316,110,3,4,4.5,8.78,1,0.69
57,329,111,4,4.5,4.5,9.18,1,0.87
58,338,117,4,3.5,4.5,9.46,1,0.91
59,331,116,5,5,5,9.38,1,0.93
60,304,103,5,5,4,8.64,0,0.68
61,305,108,5,3,3,8.48,0,0.61
62,321,109,4,4,4,8.68,1,0.69
63,301,107,3,3.5,3.5,8.34,1,0.62
64,320,110,2,4,3.5,8.56,0,0.72
65,311,105,3,3.5,3,8.45,1,0.59
66,310,106,4,4.5,4.5,9.04,1,0.66
67,299,102,3,4,3.5,8.62,0,0.56
68,290,104,4,2,2.5,7.46,0,0.45
69,296,99,2,3,3.5,7.28,0,0.47
70,327,104,5,3,3.5,8.84,1,0.71
71,335,117,5,5,5,9.56,1,0.94
72,334,119,5,4.5,4.5,9.48,1,0.94
73,310,106,4,1.5,2.5,8.36,0,0.57
74,308,108,3,3.5,3.5,8.22,0,0.61
75,301,106,4,2.5,3,8.47,0,0.57
76,300,100,3,2,3,8.66,1,0.64
77,323,113,3,4,3,9.32,1,0.85
78,319,112,3,2.5,2,8.71,1,0.78
79,326,112,3,3.5,3,9.1,1,0.84
80,333,118,5,5,5,9.35,1,0.92
81,339,114,5,4,4.5,9.76,1,0.96
82,303,105,5,5,4.5,8.65,0,0.77
83,309,105,5,3.5,3.5,8.56,0,0.71
84,323,112,5,4,4.5,8.78,0,0.79
85,333,113,5,4,4,9.28,1,0.89
86,314,109,4,3.5,4,8.77,1,0.82
87,312,103,3,5,4,8.45,0,0.76
88,316,100,2,1.5,3,8.16,1,0.71
89,326,116,2,4.5,3,9.08,1,0.8
90,318,109,1,3.5,3.5,9.12,0,0.78
91,329,110,2,4,3,9.15,1,0.84
92,332,118,2,4.5,3.5,9.36,1,0.9
93,331,115,5,4,3.5,9.44,1,0.92
94,340,120,4,4.5,4,9.92,1,0.97
95,325,112,2,3,3.5,8.96,1,0.8
96,320,113,2,2,2.5,8.64,1,0.81
97,315,105,3,2,2.5,8.48,0,0.75
98,326,114,3,3,3,9.11,1,0.83
99,339,116,4,4,3.5,9.8,1,0.96
100,311,106,2,3.5,3,8.26,1,0.79
101,334,114,4,4,4,9.43,1,0.93
102,332,116,5,5,5,9.28,1,0.94
103,321,112,5,5,5,9.06,1,0.86
104,324,105,3,3,4,8.75,0,0.79
105,326,108,3,3,3.5,8.89,0,0.8
106,312,109,3,3,3,8.69,0,0.77
107,315,105,3,2,2.5,8.34,0,0.7
108,309,104,2,2,2.5,8.26,0,0.65
109,306,106,2,2,2.5,8.14,0,0.61
110,297,100,1,1.5,2,7.9,0,0.52
111,315,103,1,1.5,2,7.86,0,0.57
112,298,99,1,1.5,3,7.46,0,0.53
113,318,109,3,3,3,8.5,0,0.67
114,317,105,3,3.5,3,8.56,0,0.68
115,329,111,4,4.5,4,9.01,1,0.81
116,322,110,5,4.5,4,8.97,0,0.78
117,302,102,3,3.5,5,8.33,0,0.65
118,313,102,3,2,3,8.27,0,0.64
119,293,97,2,2,4,7.8,1,0.64
120,311,99,2,2.5,3,7.98,0,0.65
121,312,101,2,2.5,3.5,8.04,1,0.68
122,334,117,5,4,4.5,9.07,1,0.89
123,322,110,4,4,5,9.13,1,0.86
124,323,113,4,4,4.5,9.23,1,0.89
125,321,111,4,4,4,8.97,1,0.87
126,320,111,4,4.5,3.5,8.87,1,0.85
127,329,119,4,4.5,4.5,9.16,1,0.9
128,319,110,3,3.5,3.5,9.04,0,0.82
129,309,108,3,2.5,3,8.12,0,0.72
130,307,102,3,3,3,8.27,0,0.73
131,300,104,3,3.5,3,8.16,0,0.71
132,305,107,2,2.5,2.5,8.42,0,0.71
133,299,100,2,3,3.5,7.88,0,0.68
134,314,110,3,4,4,8.8,0,0.75
135,316,106,2,2.5,4,8.32,0,0.72
136,327,113,4,4.5,4.5,9.11,1,0.89
137,317,107,3,3.5,3,8.68,1,0.84
138,335,118,5,4.5,3.5,9.44,1,0.93
139,331,115,5,4.5,3.5,9.36,1,0.93
140,324,112,5,5,5,9.08,1,0.88
141,324,111,5,4.5,4,9.16,1,0.9
142,323,110,5,4,5,8.98,1,0.87
143,322,114,5,4.5,4,8.94,1,0.86
144,336,118,5,4.5,5,9.53,1,0.94
145,316,109,3,3.5,3,8.76,0,0.77
146,307,107,2,3,3.5,8.52,1,0.78
147,306,105,2,3,2.5,8.26,0,0.73
148,310,106,2,3.5,2.5,8.33,0,0.73
149,311,104,3,4.5,4.5,8.43,0,0.7
150,313,107,3,4,4.5,8.69,0,0.72
151,317,103,3,2.5,3,8.54,1,0.73
152,315,110,2,3.5,3,8.46,1,0.72
153,340,120,5,4.5,4.5,9.91,1,0.97
154,334,120,5,4,5,9.87,1,0.97
155,298,105,3,3.5,4,8.54,0,0.69
156,295,99,2,2.5,3,7.65,0,0.57
157,315,99,2,3.5,3,7.89,0,0.63
158,310,102,3,3.5,4,8.02,1,0.66
159,305,106,2,3,3,8.16,0,0.64
160,301,104,3,3.5,4,8.12,1,0.68
161,325,108,4,4.5,4,9.06,1,0.79
162,328,110,4,5,4,9.14,1,0.82
163,338,120,4,5,5,9.66,1,0.95
164,333,119,5,5,4.5,9.78,1,0.96
165,331,117,4,4.5,5,9.42,1,0.94
166,330,116,5,5,4.5,9.36,1,0.93
167,322,112,4,4.5,4.5,9.26,1,0.91
168,321,109,4,4,4,9.13,1,0.85
169,324,110,4,3,3.5,8.97,1,0.84
170,312,104,3,3.5,3.5,8.42,0,0.74
171,313,103,3,4,4,8.75,0,0.76
172,316,110,3,3.5,4,8.56,0,0.75
173,324,113,4,4.5,4,8.79,0,0.76
174,308,109,2,3,4,8.45,0,0.71
175,305,105,2,3,2,8.23,0,0.67
176,296,99,2,2.5,2.5,8.03,0,0.61
177,306,110,2,3.5,4,8.45,0,0.63
178,312,110,2,3.5,3,8.53,0,0.64
179,318,112,3,4,3.5,8.67,0,0.71
180,324,111,4,3,3,9.01,1,0.82
181,313,104,3,4,4.5,8.65,0,0.73
182,319,106,3,3.5,2.5,8.33,1,0.74
183,312,107,2,2.5,3.5,8.27,0,0.69
184,304,100,2,2.5,3.5,8.07,0,0.64
185,330,113,5,5,4,9.31,1,0.91
186,326,111,5,4.5,4,9.23,1,0.88
187,325,112,4,4,4.5,9.17,1,0.85
188,329,114,5,4.5,5,9.19,1,0.86
189,310,104,3,2,3.5,8.37,0,0.7
190,299,100,1,1.5,2,7.89,0,0.59
191,296,101,1,2.5,3,7.68,0,0.6
192,317,103,2,2.5,2,8.15,0,0.65
193,324,115,3,3.5,3,8.76,1,0.7
194,325,114,3,3.5,3,9.04,1,0.76
195,314,107,2,2.5,4,8.56,0,0.63
196,328,110,4,4,2.5,9.02,1,0.81
197,316,105,3,3,3.5,8.73,0,0.72
198,311,104,2,2.5,3.5,8.48,0,0.71
199,324,110,3,3.5,4,8.87,1,0.8
200,321,111,3,3.5,4,8.83,1,0.77
201,320,104,3,3,2.5,8.57,1,0.74
202,316,99,2,2.5,3,9,0,0.7
203,318,100,2,2.5,3.5,8.54,1,0.71
204,335,115,4,4.5,4.5,9.68,1,0.93
205,321,114,4,4,5,9.12,0,0.85
206,307,110,4,4,4.5,8.37,0,0.79
207,309,99,3,4,4,8.56,0,0.76
208,324,100,3,4,5,8.64,1,0.78
209,326,102,4,5,5,8.76,1,0.77
210,331,119,4,5,4.5,9.34,1,0.9
211,327,108,5,5,3.5,9.13,1,0.87
212,312,104,3,3.5,4,8.09,0,0.71
213,308,103,2,2.5,4,8.36,1,0.7
214,324,111,3,2.5,1.5,8.79,1,0.7
215,325,110,2,3,2.5,8.76,1,0.75
216,313,102,3,2.5,2.5,8.68,0,0.71
217,312,105,2,2,2.5,8.45,0,0.72
218,314,107,3,3,3.5,8.17,1,0.73
219,327,113,4,4.5,5,9.14,0,0.83
220,308,108,4,4.5,5,8.34,0,0.77
221,306,105,2,2.5,3,8.22,1,0.72
222,299,96,2,1.5,2,7.86,0,0.54
223,294,95,1,1.5,1.5,7.64,0,0.49
224,312,99,1,1,1.5,8.01,1,0.52
225,315,100,1,2,2.5,7.95,0,0.58
226,322,110,3,3.5,3,8.96,1,0.78
227,329,113,5,5,4.5,9.45,1,0.89
228,320,101,2,2.5,3,8.62,0,0.7
229,308,103,2,3,3.5,8.49,0,0.66
230,304,102,2,3,4,8.73,0,0.67
231,311,102,3,4.5,4,8.64,1,0.68
232,317,110,3,4,4.5,9.11,1,0.8
233,312,106,3,4,3.5,8.79,1,0.81
234,321,111,3,2.5,3,8.9,1,0.8
235,340,112,4,5,4.5,9.66,1,0.94
236,331,116,5,4,4,9.26,1,0.93
237,336,118,5,4.5,4,9.19,1,0.92
238,324,114,5,5,4.5,9.08,1,0.89
239,314,104,4,5,5,9.02,0,0.82
240,313,109,3,4,3.5,9,0,0.79
241,307,105,2,2.5,3,7.65,0,0.58
242,300,102,2,1.5,2,7.87,0,0.56
243,302,99,2,1,2,7.97,0,0.56
244,312,98,1,3.5,3,8.18,1,0.64
245,316,101,2,2.5,2,8.32,1,0.61
246,317,100,2,3,2.5,8.57,0,0.68
247,310,107,3,3.5,3.5,8.67,0,0.76
248,320,120,3,4,4.5,9.11,0,0.86
249,330,114,3,4.5,4.5,9.24,1,0.9
250,305,112,3,3,3.5,8.65,0,0.71
251,309,106,2,2.5,2.5,8,0,0.62
252,319,108,2,2.5,3,8.76,0,0.66
253,322,105,2,3,3,8.45,1,0.65
254,323,107,3,3.5,3.5,8.55,1,0.73
255,313,106,2,2.5,2,8.43,0,0.62
256,321,109,3,3.5,3.5,8.8,1,0.74
257,323,110,3,4,3.5,9.1,1,0.79
258,325,112,4,4,4,9,1,0.8
259,312,108,3,3.5,3,8.53,0,0.69
260,308,110,4,3.5,3,8.6,0,0.7
261,320,104,3,3,3.5,8.74,1,0.76
262,328,108,4,4.5,4,9.18,1,0.84
263,311,107,4,4.5,4.5,9,1,0.78
264,301,100,3,3.5,3,8.04,0,0.67
265,305,105,2,3,4,8.13,0,0.66
266,308,104,2,2.5,3,8.07,0,0.65
267,298,101,2,1.5,2,7.86,0,0.54
268,300,99,1,1,2.5,8.01,0,0.58
269,324,111,3,2.5,2,8.8,1,0.79
270,327,113,4,3.5,3,8.69,1,0.8
271,317,106,3,4,3.5,8.5,1,0.75
272,323,104,3,4,4,8.44,1,0.73
273,314,107,2,2.5,4,8.27,0,0.72
274,305,102,2,2,2.5,8.18,0,0.62
275,315,104,3,3,2.5,8.33,0,0.67
276,326,116,3,3.5,4,9.14,1,0.81
277,299,100,3,2,2,8.02,0,0.63
278,295,101,2,2.5,2,7.86,0,0.69
279,324,112,4,4,3.5,8.77,1,0.8
280,297,96,2,2.5,1.5,7.89,0,0.43
281,327,113,3,3.5,3,8.66,1,0.8
282,311,105,2,3,2,8.12,1,0.73
283,308,106,3,3.5,2.5,8.21,1,0.75
284,319,108,3,3,3.5,8.54,1,0.71
285,312,107,4,4.5,4,8.65,1,0.73
286,325,111,4,4,4.5,9.11,1,0.83
287,319,110,3,3,2.5,8.79,0,0.72
288,332,118,5,5,5,9.47,1,0.94
289,323,108,5,4,4,8.74,1,0.81
290,324,107,5,3.5,4,8.66,1,0.81
291,312,107,3,3,3,8.46,1,0.75
292,326,110,3,3.5,3.5,8.76,1,0.79
293,308,106,3,3,3,8.24,0,0.58
294,305,103,2,2.5,3.5,8.13,0,0.59
295,295,96,2,1.5,2,7.34,0,0.47
296,316,98,1,1.5,2,7.43,0,0.49
297,304,97,2,1.5,2,7.64,0,0.47
298,299,94,1,1,1,7.34,0,0.42
299,302,99,1,2,2,7.25,0,0.57
300,313,101,3,2.5,3,8.04,0,0.62
301,318,107,3,3,3.5,8.27,1,0.74
302,325,110,4,3.5,4,8.67,1,0.73
303,303,100,2,3,3.5,8.06,1,0.64
304,300,102,3,3.5,2.5,8.17,0,0.63
305,297,98,2,2.5,3,7.67,0,0.59
306,317,106,2,2,3.5,8.12,0,0.73
307,327,109,3,3.5,4,8.77,1,0.79
308,301,104,2,3.5,3.5,7.89,1,0.68
309,314,105,2,2.5,2,7.64,0,0.7
310,321,107,2,2,1.5,8.44,0,0.81
311,322,110,3,4,5,8.64,1,0.85
312,334,116,4,4,3.5,9.54,1,0.93
313,338,115,5,4.5,5,9.23,1,0.91
314,306,103,2,2.5,3,8.36,0,0.69
315,313,102,3,3.5,4,8.9,1,0.77
316,330,114,4,4.5,3,9.17,1,0.86
317,320,104,3,3.5,4.5,8.34,1,0.74
318,311,98,1,1,2.5,7.46,0,0.57
319,298,92,1,2,2,7.88,0,0.51
320,301,98,1,2,3,8.03,1,0.67
321,310,103,2,2.5,2.5,8.24,0,0.72
322,324,110,3,3.5,3,9.22,1,0.89
323,336,119,4,4.5,4,9.62,1,0.95
324,321,109,3,3,3,8.54,1,0.79
325,315,105,2,2,2.5,7.65,0,0.39
326,304,101,2,2,2.5,7.66,0,0.38
327,297,96,2,2.5,2,7.43,0,0.34
328,290,100,1,1.5,2,7.56,0,0.47
329,303,98,1,2,2.5,7.65,0,0.56
330,311,99,1,2.5,3,8.43,1,0.71
331,322,104,3,3.5,4,8.84,1,0.78
332,319,105,3,3,3.5,8.67,1,0.73
333,324,110,4,4.5,4,9.15,1,0.82
334,300,100,3,3,3.5,8.26,0,0.62
335,340,113,4,5,5,9.74,1,0.96
336,335,117,5,5,5,9.82,1,0.96
337,302,101,2,2.5,3.5,7.96,0,0.46
338,307,105,2,2,3.5,8.1,0,0.53
339,296,97,2,1.5,2,7.8,0,0.49
340,320,108,3,3.5,4,8.44,1,0.76
341,314,102,2,2,2.5,8.24,0,0.64
342,318,106,3,2,3,8.65,0,0.71
343,326,112,4,4,3.5,9.12,1,0.84
344,317,104,2,3,3,8.76,0,0.77
345,329,111,4,4.5,4,9.23,1,0.89
346,324,110,3,3.5,3.5,9.04,1,0.82
347,325,107,3,3,3.5,9.11,1,0.84
348,330,116,4,5,4.5,9.45,1,0.91
349,312,103,3,3.5,4,8.78,0,0.67
350,333,117,4,5,4,9.66,1,0.95
351,304,100,2,3.5,3,8.22,0,0.63
352,315,105,2,3,3,8.34,0,0.66
353,324,109,3,3.5,3,8.94,1,0.78
354,330,116,4,4,3.5,9.23,1,0.91
355,311,101,3,2,2.5,7.64,1,0.62
356,302,99,3,2.5,3,7.45,0,0.52
357,322,103,4,3,2.5,8.02,1,0.61
358,298,100,3,2.5,4,7.95,1,0.58
359,297,101,3,2,4,7.67,1,0.57
360,300,98,1,2,2.5,8.02,0,0.61
361,301,96,1,3,4,7.56,0,0.54
362,313,94,2,2.5,1.5,8.13,0,0.56
363,314,102,4,2.5,2,7.88,1,0.59
364,317,101,3,3,2,7.94,1,0.49
365,321,110,4,3.5,4,8.35,1,0.72
366,327,106,4,4,4.5,8.75,1,0.76
367,315,104,3,4,2.5,8.1,0,0.65
368,316,103,3,3.5,2,7.68,0,0.52
369,309,111,2,2.5,4,8.03,0,0.6
370,308,102,2,2,3.5,7.98,1,0.58
371,299,100,3,2,3,7.42,0,0.42
372,321,112,3,3,4.5,8.95,1,0.77
373,322,112,4,3.5,2.5,9.02,1,0.73
374,334,119,5,4.5,5,9.54,1,0.94
375,325,114,5,4,5,9.46,1,0.91
376,323,111,5,4,5,9.86,1,0.92
377,312,106,3,3,5,8.57,0,0.71
378,310,101,3,3.5,5,8.65,1,0.71
379,316,103,2,2,4.5,8.74,0,0.69
380,340,115,5,5,4.5,9.06,1,0.95
381,311,104,3,4,3.5,8.13,1,0.74
382,320,112,2,3.5,3.5,8.78,1,0.73
383,324,112,4,4.5,4,9.22,1,0.86
384,316,111,4,4,5,8.54,0,0.71
385,306,103,3,3.5,3,8.21,0,0.64
386,309,105,2,2.5,4,7.68,0,0.55
387,310,110,1,1.5,4,7.23,1,0.58
388,317,106,1,1.5,3.5,7.65,1,0.61
389,318,110,1,2.5,3.5,8.54,1,0.67
390,312,105,2,1.5,3,8.46,0,0.66
391,305,104,2,2.5,1.5,7.79,0,0.53
392,332,112,1,1.5,3,8.66,1,0.79
393,331,116,4,4.5,4.5,9.44,1,0.92
394,321,114,5,4.5,4.5,9.16,1,0.87
395,324,113,5,4,5,9.25,1,0.92
396,328,116,5,4.5,5,9.08,1,0.91
397,327,118,4,5,5,9.67,1,0.93
398,320,108,3,3.5,5,8.97,1,0.84
399,312,109,2,2.5,4,9.02,0,0.8
400,315,101,3,3.5,4.5,9.13,0,0.79
401,320,112,4,3,4.5,8.86,1,0.82
402,324,113,4,4.5,4.5,9.25,1,0.89
403,328,116,4,5,3.5,9.6,1,0.93
404,319,103,3,2.5,4,8.76,1,0.73
405,310,105,2,3,3.5,8.01,0,0.71
406,305,102,2,1.5,2.5,7.64,0,0.59
407,299,100,2,2,2,7.88,0,0.51
408,295,99,1,2,1.5,7.57,0,0.37
409,312,100,1,3,3,8.53,1,0.69
410,329,113,4,4,3.5,9.36,1,0.89
411,319,105,4,4,4.5,8.66,1,0.77
412,301,102,3,2.5,2,8.13,1,0.68
413,307,105,4,3,3,7.94,0,0.62
414,304,107,3,3.5,3,7.86,0,0.57
415,298,97,2,2,3,7.21,0,0.45
416,305,96,4,3,4.5,8.26,0,0.54
417,314,99,4,3.5,4.5,8.73,1,0.71
418,318,101,5,3.5,5,8.78,1,0.78
419,323,110,4,4,5,8.88,1,0.81
420,326,114,4,4,3.5,9.16,1,0.86
421,320,110,5,4,4,9.27,1,0.87
422,311,103,3,2,4,8.09,0,0.64
423,327,116,4,4,4.5,9.48,1,0.9
424,316,102,2,4,3.5,8.15,0,0.67
425,308,105,4,3,2.5,7.95,1,0.67
426,300,101,3,3.5,2.5,7.88,0,0.59
427,304,104,3,2.5,2,8.12,0,0.62
428,309,105,4,3.5,2,8.18,0,0.65
429,318,103,3,4,4.5,8.49,1,0.71
430,325,110,4,4.5,4,8.96,1,0.79
431,321,102,3,3.5,4,9.01,1,0.8
432,323,107,4,3,2.5,8.48,1,0.78
433,328,113,4,4,2.5,8.77,1,0.83
434,304,103,5,5,3,7.92,0,0.71
435,317,106,3,3.5,3,7.89,1,0.73
436,311,101,2,2.5,3.5,8.34,1,0.7
437,319,102,3,2.5,2.5,8.37,0,0.68
438,327,115,4,3.5,4,9.14,0,0.79
439,322,112,3,3,4,8.62,1,0.76
440,302,110,3,4,4.5,8.5,0,0.65
441,307,105,2,2.5,4.5,8.12,1,0.67
442,297,99,4,3,3.5,7.81,0,0.54
443,298,101,4,2.5,4.5,7.69,1,0.53
444,300,95,2,3,1.5,8.22,1,0.62
445,301,99,3,2.5,2,8.45,1,0.68
446,332,108,5,4.5,4,9.02,1,0.87
447,337,117,5,5,5,9.87,1,0.96
448,330,120,5,4.5,5,9.56,1,0.93
449,312,103,4,4,5,8.43,0,0.73
450,327,113,4,4.5,4.5,9.04,0,0.84
